post_id,date,likes,comments,reposts,views,attachments,text
2639,2024-01-16 16:32:00,8,0,1,462,1,68
2638,2024-01-16 16:31:00,6,0,1,353,1,101
2637,2024-01-16 16:30:00,6,0,1,309,1,94
2636,2024-01-16 14:15:00,6,0,2,348,1,52
2630,2024-01-16 12:05:08,4,0,1,271,1,149
2628,2024-01-11 18:10:00,6,0,4,354,1,61
2626,2024-01-11 15:40:00,4,0,3,336,1,80
2625,2024-01-10 16:30:00,5,0,3,379,1,77
2624,2024-01-10 13:40:00,9,0,4,480,1,81
2621,2024-01-09 16:30:00,6,0,4,368,1,53
2620,2024-01-09 14:15:00,7,0,3,396,1,103
2616,2023-12-31 22:22:00,29,0,1,796,1,112
2615,2023-12-31 12:00:05,18,0,1,626,1,225
2612,2023-12-26 15:00:01,6,0,4,570,1,102
2611,2023-12-26 12:20:00,9,0,4,577,1,65
2608,2023-12-26 10:00:04,11,0,14,646,2,115
2605,2023-12-23 20:05:12,15,1,3,691,5,88
2603,2023-12-22 16:45:00,8,0,7,649,1,67
2602,2023-12-22 12:15:00,9,0,4,573,1,69
2601,2023-12-22 11:20:00,7,0,1,460,1,71
2600,2023-12-22 09:50:00,8,0,3,476,1,64
2599,2023-12-21 20:30:00,5,0,1,425,1,75
2593,2023-12-21 19:04:17,10,0,4,555,1,72
2592,2023-12-21 17:20:00,5,0,2,440,1,92
2590,2023-12-19 17:30:00,8,0,2,499,1,100
2589,2023-12-19 09:30:00,5,0,1,458,1,102
2585,2023-12-16 15:20:00,10,0,1,518,1,51
2584,2023-12-16 13:00:00,8,0,1,499,2,107
2581,2023-12-15 18:10:00,15,0,1,640,1,60
2580,2023-12-15 16:30:00,13,0,1,484,1,52
2575,2023-12-15 15:30:00,13,0,6,497,1,108
2499,2023-12-14 10:40:00,38,6,2,608,1,46
2498,2023-12-13 18:10:00,39,5,2,575,1,137
2495,2023-12-13 15:55:00,37,4,5,605,1,52
2494,2023-12-13 14:30:00,45,1,9,1243,4,57
2487,2023-12-12 17:15:00,37,4,1,470,1,74
2486,2023-12-12 15:45:00,34,2,3,562,4,61
2485,2023-12-12 14:00:01,72,6,6,1595,2,115
2484,2023-12-12 11:30:00,31,1,1,416,1,85
2483,2023-12-12 09:30:00,32,3,1,416,1,48
2482,2023-12-12 09:03:40,31,0,1,327,0,7
2478,2023-12-11 19:00:02,30,2,1,415,1,79
2476,2023-12-11 15:30:06,42,0,13,2466,5,112
2475,2023-12-11 15:29:22,37,6,7,707,1,25
2474,2023-12-11 11:00:03,31,0,1,528,1,83
2467,2023-12-10 19:00:00,27,0,1,361,1,59
2466,2023-12-10 18:00:01,32,0,1,439,1,61
2465,2023-12-10 16:30:00,26,0,3,445,1,87
2464,2023-12-10 14:20:00,28,1,1,428,1,155
2463,2023-12-10 12:20:00,25,0,3,373,1,68
2462,2023-12-10 11:15:00,24,0,1,311,1,52
2461,2023-12-10 10:40:00,24,0,2,337,1,61
2454,2023-12-09 16:50:00,22,0,1,383,1,111
2453,2023-12-09 15:30:00,23,1,1,348,1,130
2451,2023-12-09 14:10:00,27,0,7,447,1,41
2449,2023-12-09 12:45:00,24,0,2,350,1,72
2446,2023-12-08 15:15:00,22,0,1,340,1,97
2445,2023-12-08 13:40:00,23,0,1,346,1,94
2442,2023-12-08 12:50:00,35,2,7,914,6,72
2441,2023-12-08 11:50:00,22,0,1,328,1,107
2440,2023-12-08 11:00:02,21,0,1,279,1,53
2436,2023-12-07 18:30:00,24,0,2,367,1,62
2433,2023-12-07 16:10:00,23,0,4,362,1,136
2431,2023-12-07 14:30:00,24,0,3,356,1,144
2429,2023-12-07 12:45:00,29,0,1,341,1,90
2425,2023-12-03 14:15:00,23,0,2,510,2,171
2423,2023-12-02 16:30:01,24,0,3,526,1,93
2421,2023-12-01 20:40:00,23,0,2,440,1,49
2418,2023-11-30 17:30:00,22,0,1,459,1,78
2417,2023-11-30 15:45:36,34,0,4,1042,4,95
2416,2023-11-30 11:30:00,23,0,2,441,1,120
2415,2023-11-30 10:30:00,24,0,1,431,1,44
2412,2023-11-29 14:00:04,24,0,1,411,1,87
2410,2023-11-29 12:15:00,23,0,3,426,1,114
2407,2023-11-29 11:40:20,23,0,2,358,0,14
2406,2023-11-28 18:40:00,23,1,4,405,1,97
2403,2023-11-28 17:20:00,23,3,3,349,1,69
2402,2023-11-28 16:00:07,30,0,12,676,1,89
2401,2023-11-28 14:20:00,31,0,2,539,1,104
2400,2023-11-28 13:30:01,30,0,5,483,3,50
2399,2023-11-28 13:00:02,26,1,4,681,4,100
2397,2023-11-27 20:40:00,20,0,2,371,1,102
2394,2023-11-27 16:50:21,21,0,1,312,0,7
2392,2023-11-27 16:30:01,25,0,3,500,4,89
2390,2023-11-27 14:30:01,26,1,5,367,1,103
2389,2023-11-27 13:10:01,24,0,2,330,0,3
2388,2023-11-27 12:30:00,23,0,4,339,1,83
2387,2023-11-27 10:45:00,24,1,2,363,1,46
2386,2023-11-26 17:30:00,25,0,1,376,3,51
